DATA_SOURCE,RECORD_ID,PRIMARY_NAME_FULL,NATIVE_NAME_FULL,SECONDARY_NAME_ORG,PRIMARY_NAME_ORG,PRIMARY_NAME_LAST,PRIMARY_NAME_FIRST,PRIMARY_NAME_MIDDLE,GENDER,DATE_OF_BIRTH,PASSPORT_NUMBER,PASSPORT_COUNTRY,DRIVERS_LICENSE_NUMBER,DRIVERS_LICENSE_STATE,SSN_NUMBER,NATIONAL_ID_NUMBER,NATIONAL_ID_COUNTRY,EMAIL_ADDRESS,ADDR_FULL,ADDR_LINE1,ADDR_CITY,ADDR_STATE,ADDR_POSTAL_CODE,ADDR_COUNTRY,ADDR_TYPE,PHONE_NUMBER,PHONE_TYPE,RECORD_TYPE,REL_ANCHOR_KEY,REL_POINTER_KEY,REL_POINTER_ROLE,AMOUNT,EMPLOYER_NAME,CATEGORY,STATUS,DATE
CUSTOMERS,1074,,,,,Zhang,Wei,,Male,2/8/06,,,,,,,,,,"173 John Lane, 08030",,,,,HOME,,,PERSON,,,,600,,,Active,1/31/18
CUSTOMERS,1075,,张秀英,,,,,,F,2/4/31,,,,,,,,,,"329 Leatherwood Street, Las Vegas, 89117",,,,,HOME,,,PERSON,,,,700,,,Active,1/2/18
CUSTOMERS,1076,,,,,Zhang,Xiu Ying,,Female,4/2/31,,,,,,,,,,"329 Leatherwood Street, Las Vegas, NV",,,,,HOME,,,PERSON,,,,800,,,Active,1/3/18
CUSTOMERS,1077,,刘杰,,,,,,F,6/25/08,,,,,,,,,,37 Campfire St.,,,,,HOME,,,PERSON,,,,900,,,Active,1/4/18
CUSTOMERS,1078,,,,,Liu,Jie,,Unknown,25-Jun-08,,,,,,,,,,37 Campfire St.,,,,,HOME,,,PERSON,,,,100,,,Active,1/5/18
CUSTOMERS,1079,,,,,Brown,Jeffrey,,U,6/21/82,,,,,3241,,,,,,,,,,,,,PERSON,,,,200,,,Active,1/6/18
CUSTOMERS,1080,,,,,Brown Jr,Geoffrey,,M,6/21/82,,,,,3241,,,,,,,,,,,,,PERSON,,,,300,,,Active,1/7/18
CUSTOMERS,1081,,,,,Frankens,George,,,15-Mar-92,234456456,DE,,,,,,,,"Ansbacher Strasse 23, 56422 Dusseldorf",,,56244,,HOME,,,PERSON,,,,400,,,Active,1/8/18
CUSTOMERS,1082,,,,,Frankens,Georg,,,15-Mar-92,234456456,Germany,,,,,,,,23 Ansbacher Street,Dusseldorf,,56244,Germany,MAILING,,,PERSON,,,,500,,,Active,1/9/18
CUSTOMERS,1083,,,,,Klempski,Morris,,,17-May-90,34543555,CA,,,,,,,,"Skyline Apartments, 705 Sheppard Ave",Toronto,,M1S 1T4,,HOME,,,PERSON,,,,600,,,Active,1/10/18
CUSTOMERS,1084,,,,,Klempsky,Morrie,,,17-May-90,34543555,Canada,,,,,,,,705 Sheppard Ave,Toronto,,M1S 1T4,CAN,MAILING,,,PERSON,,,,700,,,Active,1/11/18
CUSTOMERS,1085,,,,,D'esquire,Ellie,,,19-Feb-91,,,,,,,,dellie@fmail.com,,,,,,,,0352 6553537,HOME,PERSON,,,,800,,,Active,1/12/18
CUSTOMERS,1086,,,,,Desqueir,Ellie,,,19-Feb-91,,,,,,,,dellie@fmail.com,,,,,,,,+39 0352 6553537,HOME,PERSON,,,,900,,,Active,1/13/18
CUSTOMERS,1087,,,,,Wiest,George,,M,3/12/87,,,,,,,,pfranks@ishmail.com,,,,,,,,702-221-2412,HOME,PERSON,,,,100,,,Active,1/14/18
CUSTOMERS,1088,,,,,Weest,George,,F,3/12/87,,,,,,,,pfranks@ishmail.com,,,,,,,,221-2412,HOME,PERSON,,,,200,,,Active,1/15/18
CUSTOMERS,1089,,,,,Klein,Morris I,,,4/12/82,,,,,,,,,,,,,,,,,,PERSON,,,,300,,,Active,1/16/18
CUSTOMERS,1090,,,,,Klein,Morris II,,,4/12/82,,,,,,,,,,,,,,,,,,PERSON,,,,400,,,Active,1/17/18
CUSTOMERS,1091,,,,,Ohare,Ellie,,,8/15/67,,,,,,,,ellie.ohare@fmail.com,,,,,,,,0352 6553537,HOME,PERSON,,,,500,,,Active,1/18/18
CUSTOMERS,1092,,,,,O'hare,Ellie,,,8/15/67,,,,,,,,ellie.ohare@fmail.com,,,,,,,,+39 0352 6553537,HOME,PERSON,,,,600,,,Active,1/19/18
CUSTOMERS,1093,,,,,Anderson,Amanda,,,3/12/87,,,73423499,MN,,,,,,,,,,,,,,PERSON,,,,700,,,Active,1/20/18
CUSTOMERS,1094,,,,,Jones,Amanda,,,3/12/87,,,73423499,MN,,,,,,,,,,,,,,PERSON,,,,800,,,Active,1/21/18
CUSTOMERS,1095,,,,,Aguilar,Juan,,Male,4/12/82,,,234234455,MN,,,,,,,,,,,,,,PERSON,,,,900,,,Active,1/22/18
CUSTOMERS,1096,,,,,Aguilar,Juann,,,4/12/82,,,234234455,MN,,,,,,,,,,,,,,PERSON,,,,100,,,Active,1/23/18
CUSTOMERS,1097,,,,,Sanchez,Marie,,,,,,,,,,,mickey@mmail.com,,P.O. Box 12987,Andersonville,IL,60611,,MAILING,,MOBILE,PERSON,,,,200,,,Active,1/24/18
CUSTOMERS,1098,,,,,Sanchez Mendoza,Marie,,,,,,,,,,,mickey@mmail.com,,PO BOX 12987,Chicago,IL,60611,,MAILING,,MOBILE,PERSON,,,,300,,,Active,1/25/18
CUSTOMERS,1099,,,,,Aguilar,Anna Maria,,Female,,,,,,,,,mouse@mmail.com,,1812 Overture way,Chicago,IL,,,HOME,,MOBILE,PERSON,,,,400,,,Active,1/26/18
CUSTOMERS,1100,,,,,Aguilar,Anna,Marie,Unknown,,,,,,,,,mouse@mmail.com,,9881 Freedom way,Chicago,IL,,,HOME,,MOBILE,PERSON,,,,500,,,Active,1/27/18
CUSTOMERS,1101,,,,,Miller,Mark,,,,,,,,,,,mark@marksfoods.com,,,,,,,,,,PERSON,,,,600,,,Active,1/28/18
CUSTOMERS,1102,,,,,Milner,Mark,,,,,,,,,,,mark@marksfoods.com,,,,,,,,,,PERSON,,,,700,,,Active,1/29/18
CUSTOMERS,1103,,,,,Becker,Anabella,,U,,,,823123,TX,,,,,,,,,,,,,,PERSON,,,,800,,,Active,1/30/18
CUSTOMERS,1104,,,,,Becker,Annabelle,,F,,,,823123,Texas,,,,,,,,,,,,,,PERSON,,,,900,,,Active,1/31/18
CUSTOMERS,2011,,,,Hajah Mamunah (Jln Pisang),,,,,,,,,,,,,,"#01-11, HillV2, 4 Hillview Rise, 667979",,,,,Singapore,BUSINESS,,,ORGANIZATION,,,,,,Platinum,Inactive,1/31/18
CUSTOMERS,2031,,,,,គឹម,តារា,,,,,,,,,,,,"No 321, Street 128 Phnom Penh Cambodia",,,,,,PRIMARY,,,PERSON,,,,,,Gold,Active,3/15/1992
CUSTOMERS,2032,,,,,Kim,Dara,,,,,,,,,,,,,"#321, Street 128",Phnom Penh,,,Cambodia,PRIMARY,,,PERSON,,,,,,Silver,Active,3/12/1998
CUSTOMERS,2042,,,Autoworks,Mullenkrants,,,,,,,,,,,,,,,Hardenbergstrasse 87,,,66879,Germany,PRIMARY,,,ORGANIZATION,,,,,,Platinum,Terminated,3/15/2019
CUSTOMERS,2063,Alexander Pavlovich Vasiliev,,,,,,,,,,,,,,,,,,,,,,,,481-285-6234,,PERSON,,,,,,Platinum,Active,1/15/2000
CUSTOMERS,2072,,,,Univrsl Export Inc,,,,,,,,,,,,,,,100 Howard Hughs Plaza,Las Vegas,NV,89111,,BUSINESS,800-111-1234,,ORGANIZATION,,,,,,Silver,Active,6/15/2005
CUSTOMERS,2073,,,,Worldwide Exports,,,,,,,,,,,,,,,"Chrysler Building, 405 Lexington Avenue",New York,NY,10174,,REGISTERED,,,ORGANIZATION,,,,,,Platinum,Active,12/10/2020
CUSTOMERS,2142,,,,Singapore exports,,,,,,,,,,,,,,"133 New Bridge Road, Chinatown Point, Singapore 059413",,,,,Singapore,PRIMARY,,,ORGANIZATION,,,,,,Silver,Active,2/4/2012
CUSTOMERS,2152,,,,India Exports,,,,,,,,,,,,,,"Mullanpara Road, Old Vythiri, Vythiri, Wayanad, 673576, India",,,,,,PRIMARY,+91 4936 202565,,ORGANIZATION,,,,,,Gold,Active,3/1/2010
CUSTOMERS,2171,,,,,Anderson,Andrew,,,,,,,,,,,info@ca-state.gov,,,,,,,,,,PERSON,,,,,,,,
CUSTOMERS,2172,,,,,Anderson,Andy,,,,,,,,,,,info@ca-state.gov,,,,,,,,,,PERSON,,,,,,,,
CUSTOMERS,2181,,,,,Anderson,Anna,,,,,,,,,,,info@ca-state.gov,,,,,,,,702-221-2211,,PERSON,,,,,,,,
CUSTOMERS,2182,,,,,Anderson,Annabelle,,,,,,,,,,,info@ca-state.gov,,,,,,,,702-221-2211,,PERSON,,,,,,,,
CUSTOMERS,2191,,,,,Muir,Jim,,,1997-11-12,,,,,,,,info@ca-state.gov,,12396 Austin Rd,Sacramento,CA,95823,,,,,PERSON,,,,,,,,
CUSTOMERS,2192,,,,,Muir,Jane,,,1999-12-10,,,,,,,,info@ca-state.gov,,12396 Austin Rd,Sacramento,CA,95823,,,,,PERSON,,,,,,,,
CUSTOMERS,2193,,,,,Muir,J,,,1999-12-10,,,,,,,,info@ca-state.gov,,12396 Austin Rd,Sacramento,CA,95823,,,,,PERSON,,,,,,,,
CUSTOMERS,2201,,,,,Swarm,Jorg,,,,,,,,,,,info@ca-state.gov,,127 14th Ave,Elmwood Park,CA,95865,,,,,PERSON,,,,,,,,
CUSTOMERS,2202,,,,,Barge,Jorge,,,,,,,,,,,info@ca-state.gov,,4362 Belmont Lane,Elmwood Park,CA,95865,,,,,PERSON,,,,,,,,
CUSTOMERS,2203,,,,,Gray,Gaston,,,,,,,,,,,info@ca-state.gov,,1376 BlueBell Road,Sacramento,CA,95823,,,,,PERSON,,,,,,,,
CUSTOMERS,2204,,,,,Howard,Henry,,,,,,,,,,,info@ca-state.gov,,538 Blanco St,Sacramento,CA,95823,,,,,PERSON,,,,,,,,
CUSTOMERS,2205,,,,,Inverness,Inez,,,,,,,,,,,info@ca-state.gov,,2516 BentTree Ln,Sacramento,CA,95823,,,,,PERSON,,,,,,,,
CUSTOMERS,2206,,,,,Jackson,Julia,,,,,,,,,,,info@ca-state.gov,,319 Cody Road,Elmwood Park,CA,95865,,,,,PERSON,,,,,,,,
CUSTOMERS,2207,,,,,Kellar,Kandace,,,,,,,,,,,info@ca-state.gov,,1824 AspenOak Way,Elmwood Park,CA,95865,,,,,PERSON,,,,,,,,
CUSTOMERS,2208,,,,,Leonard,Leslie,,,,,,,,,,,info@ca-state.gov,,4362 Belmont Lane,Elmwood Park,CA,95865,,,,,PERSON,,,,,,,,
CUSTOMERS,2209,,,,,Miller,Millie,,,,,,,,,,,info@ca-state.gov,,1376 BlueBell Road,Sacramento,CA,95823,,,,,PERSON,,,,,,,,
CUSTOMERS,2210,,,,,Nice,Nelson,,,,,,,,,,,info@ca-state.gov,,319 Cody Road,Elmwood Park,CA,95865,,,,,PERSON,,,,,,,,
CUSTOMERS,2211,,,,,Otter,Otto,,,,,,,,,,,info@ca-state.gov,,1824 AspenOak Way,Elmwood Park,CA,95865,,,,,PERSON,,,,,,,,
CUSTOMERS,2212,,,,,Pemberton,Penny,,,,,,,,,,,info@ca-state.gov,,1824 AspenOak Way,Elmwood Park,CA,95823,,,,,PERSON,,,,,,,,
CUSTOMERS,2213,,,,,Kellar,Candace,,,,,,,,,,,info@ca-state.gov,,1824 AspenOak Way,Elmwood Park,CA,95865,,,,,PERSON,,,,,,,,
CUSTOMERS,2214,,,,,Sanders,Sandy,,,,,,,,,,,info@ca-state.gov,,1376 BlueBell Rd,Sacramento,CA,95823,,,,,PERSON,,,,,,,,
WATCHLIST,1006,,,,,Smith Sr,Robert,E,,3/31/1954,,,112233,NV,,,,,,"123 Main St, Las Vegas ",,,,,MAILING,,,PERSON,,,,,,Fraud,Active,1/3/17
WATCHLIST,1007,,,,,Smith,Patricia,,,,,,,,,,,psmith@email.com,,"1515 Adela Ln, LV, NV",,,89132,,HOME,,,PERSON,,,,,,Fraud,Active,2/4/20
WATCHLIST,1008,,,,,Smith,Robert,,,,,,,,,,,robert.smith@email.com,,,,,,,,,,PERSON,,,,,,Fraud,Active,3/5/19
WATCHLIST,1012,,,,,Kusha,Eddie,,,3/1/1970,,,,,,,,,,"1602 Brenville Pl, San Francisco, CA 94105",San Francisco,CA,94105,,MAILING,,,PERSON,,,,,,Fraud,Active,4/6/19
WATCHLIST,1014,,,,,Knight,Eddie,,,3/1/70,,,,,294-66-9999,,,,,160 Brenville Pl,San Francisco,CA,94105,,MAILING,,,PERSON,,,,,,Fraud,Inactive,5/7/15
WATCHLIST,1021,,,,,,,,,,,,,,201-77-7719,,,Kusha123@hmail.com,,1304 Poppy Hills Dr,Blacklick,OH,43004,,HOME,,,PERSON,,,,,,Fraud,Active,6/8/16
WATCHLIST,1024,,,,,Antoun,Mhd,,,1/7/80,,,,,,,,,,,,,,,,,,PERSON,,,,,,Fraud,Active,7/9/18
WATCHLIST,1027,,,,,Anderson,Darletta,,,1/7/80,,,,,,,,,,,,,,,,,,PERSON,,,,,,Fraud,Active,3/5/19
WATCHLIST,1029,,,,,Dobbins Senior,David,,,,,,,,,,,,,"Suite 900, 1450 N City Rd",Arlington,,23208,,HOME,,,PERSON,,,,,,Fraud,Active,4/6/20
WATCHLIST,1037,,,,,Sentosa,Maria,,,12/11/73,,,,,,,,,,,,,,,,,,PERSON,,,,,,Fraud,Active,5/7/15
WATCHLIST,1038,,,,,Medina,Maria,,,12/11/73,,,,,,,,msentosa@fmail.com,,"9304 W. 15th St La Blanca, FL 60527",,,,,HOME,,,PERSON,,,,,,Fraud,Active,1/3/19
WATCHLIST,1041,,,,,Smith,John,,,,,,,,,,,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,HOME,,,PERSON,,,,,,Fraud,Active,2/4/19
WATCHLIST,1042,,,,,Smith,John,,M,,,,,,,,,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,HOME,,,PERSON,,,,,,Fraud,Inactive,3/5/18
WATCHLIST,2052,,فيصل صديقي,,,,,,,,,,,,,,,,,Jia Musa Shahdara Sheikhupura Road,Lahore,,,Pakistan,PRIMARY,42-7925774,,PERSON,,,,,,Sanctioned,Current,2/22/2002
WATCHLIST,2062,,"ВАСИЛЬЕВ, Александр Павлович",,,,,,,,,,,,,,,,,"Tolmacheva Ul., bld. 8, appt. 71 ",Smolensk,,,,,(4812)85-62-34,,PERSON,,,,,,Sanctioned,Current,4/14/2014
WATCHLIST,2082,"Hughes, Howie",,,,,,,,,,,,,,,,,,"1231 Las Vegas Blvd, Penthouse Suite",Las Vegas,NV,,,HOME,,,PERSON,,,,,Universal Exports,PEP,Current,4/3/2019
WATCHLIST,2092,"Charney, Peggie",,,,,,,,,,,,,,,,,,,,,,,,,,PERSON,,,,,Universal Exports,PEP,Current,4/3/2019
REFERENCE,2012,,,,Hajah Maimunah,,,,,,,,,,,,,,,4 Hillview Rise,SINGAPORE,,667979,Singapore,REGISTERED,,,ORGANIZATION,2011,,,,,Proprietorship,Active,2010
REFERENCE,2013,Wang Jie,,,,,,,,1993-09-14,,,,,,,,,,,,,,,,,,PERSON,,2011,Owns 60%,,,Owner,Current,
REFERENCE,2014,Wang Wei,,,,,,,,1997-09-14,,,,,,,,,,,,,,,,,,PERSON,,2011,Owns 40%,,,Owner,Current,
REFERENCE,2041,,,Autowerkz,Müllenkranz,,,,,,,,,,,,,,,Hardenbergstraße 87,Rheinland-Pfalz,,66879,Germany,PRIMARY,,,ORGANIZATION,2041,,,,,Partnership,Inactive,2009
REFERENCE,2051,Faisal Siddiqui,,,,,,,,,,,,,,,,,,Jia Musa Shahdara Sheikhupura Road,Lahore,,,Pakistan,HOME,+92 42-7925774,,PERSON,,2041,President,,Müllenkranz,President,Current,
REFERENCE,2061,,"ВАСІЛЬЕЎ, Аляксандр Паўлавіч",,,,,,,,,,,,,,,,"Tolmacheva Ul., bld. 8, appt. 71 Smolensk",,,,,RUS,,+7(4812)85-62-34,PRIMARY,PERSON,,2041,Owns 100%,,Müllenkranz,Owner,Current,
REFERENCE,2071,,,Universal Exports,"Universal Exports, USA",,,,,,,,,,,,,,"Hughes Plaza, 100 Howard Hughes Way, Las Vegas, NV 89111",,,,,,BUSINESS,800-111-1234,,ORGANIZATION,2071,2074,Global Parent,,,Corporation,Active,1990
